song_id;song;track;writers;length;year;album
1;welcome_to_new_york;1;taylor_swift;3:32;2014;1989
1;welcome_to_new_york;1;ryan_tedder;3:32;2014;1989
2;blank_space;2;taylor_swift;3:51;2014;1989
2;blank_space;2;max_martin;3:51;2014;1989
2;blank_space;2;shellback;3:51;2014;1989
3;style;3;taylor_swift;3:51;2014;1989
3;style;3;max_martin;3:51;2014;1989
3;style;3;shellback;3:51;2014;1989
3;style;3;ali_payami;3:51;2014;1989
4;out_of_the_woods;4;taylor_swift;3:55;2014;1989
4;out_of_the_woods;4;jack_antonoff;3:55;2014;1989
5;all_you_had_to_do_was_stay;5;taylor_swift;3:13;2014;1989
5;all_you_had_to_do_was_stay;5;max_martin;3:13;2014;1989
6;shake_it_off;6;taylor_swift;3:39;2014;1989
6;shake_it_off;6;max_martin;3:39;2014;1989
6;shake_it_off;6;shellback;3:39;2014;1989
7;i_wish_you_would;7;taylor_swift;3:27;2014;1989
7;i_wish_you_would;7;jack_antonoff;3:27;2014;1989
8;bad_blood;8;taylor_swift;3:31;2014;1989
8;bad_blood;8;max_martin;3:31;2014;1989
8;bad_blood;8;shellback;3:31;2014;1989
9;wildest_dreams;9;taylor_swift;3:40;2014;1989
9;wildest_dreams;9;max_martin;3:40;2014;1989
9;wildest_dreams;9;shellback;3:40;2014;1989
10;how_you_get_the_girl;10;taylor_swift;4:07;2014;1989
10;how_you_get_the_girl;10;max_martin;4:07;2014;1989
10;how_you_get_the_girl;10;shellback;4:07;2014;1989
11;this_love;11;taylor_swift;4:10;2014;1989
12;i_know_places;12;taylor_swift;3:15;2014;1989
12;i_know_places;12;ryan_tedder;3:15;2014;1989
13;clean;13;taylor_swift;4:30;2014;1989
13;clean;13;imogen_heap;4:30;2014;1989
14;willow;1;taylor_swift;3:34;2020;evermore
14;willow;1;aaron_dessner;3:34;2020;evermore
15;champagne_problems;2;taylor_swift;4:04;2020;evermore
15;champagne_problems;2;william_bowery;4:04;2020;evermore
16;gold_rush;3;taylor_swift;3:05;2020;evermore
16;gold_rush;3;jack_antonoff;3:05;2020;evermore
17;tis_the_damn_season;4;taylor_swift;3:49;2020;evermore
17;tis_the_damn_season;4;aaron_dessner;3:49;2020;evermore
18;tolerate_it;5;taylor_swift;4:05;2020;evermore
18;tolerate_it;5;aaron_dessner;4:05;2020;evermore
19;no_body_no_crime;6;taylor_swift;3:35;2020;evermore
20;happiness;7;taylor_swift;5:15;2020;evermore
20;happiness;7;aaron_dessner;5:15;2020;evermore
21;dorothea;8;taylor_swift;3:45;2020;evermore
21;dorothea;8;aaron_dessner;3:45;2020;evermore
22;coney_island;9;taylor_swift;4:35;2020;evermore
22;coney_island;9;william_bowery;4:35;2020;evermore
22;coney_island;9;aaron_dessner;4:35;2020;evermore
22;coney_island;9;bryce_dessner;4:35;2020;evermore
23;ivy;10;taylor_swift;4:20;2020;evermore
23;ivy;10;aaron_dessner;4:20;2020;evermore
23;ivy;10;jack_antonoff;4:20;2020;evermore
24;cowboy_like_me;11;taylor_swift;4:35;2020;evermore
24;cowboy_like_me;11;aaron_dessner;4:35;2020;evermore
25;long_story_short;12;taylor_swift;3:35;2020;evermore
25;long_story_short;12;aaron_dessner;3:35;2020;evermore
