song_id,song,album,artist,clean_lyrics
1,01_welcome_to_new_york,1989,Taylor Swift,"walkin' through a crowd, the village is aglow kaleidoscope of loud heartbeats under coats everybody here wanted somethin' more searchin' for a sound we hadn't heard before and it said welcome to new york, it's been waitin' for you welcome to new york, welcome to new york welcome to new york, it's been waitin' for you welcome to new york, welcome to new york it's a new soundtrack, i could dance to this beat, beat forevermore the lights are so bright, but they never blind me, me welcome to new york, it's been waitin' for you welcome to new york, welcome to new york when we first dropped our bags on apartment floors took our broken hearts, put them in a drawer everybody here was someone else before and you can want who you want boys and boys and girls and girls welcome to new york, it's been waitin' for you welcome to new york, welcome to new york welcome to new york, it's been waitin' for you welcome to new york, welcome to new york it's a new soundtrack, i could dance to this beat, beat forevermore the lights are so bright, but they never blind me, me welcome to new york (new york), it's been waitin' for you welcome to new york, welcome to new york like any great love, it keeps you guessing like any real love, it's ever-changing like any true love, it drives you crazy but you know you wouldn't change anything, anything, anything welcome to new york, it's been waitin' for you welcome to new york, welcome to new york welcome to new york, it's been waitin' for you welcome to new york, welcome to new york it's a new soundtrack, i could dance to this beat the lights are so bright, but they never blind me welcome to new york (new soundtrack), it's been waitin' for you welcome to new york, the lights are so bright, but they never blind me welcome to new york, so bright, they never blind me, yeah welcome to new york, welcome to new york"
2,02_blank_space,1989,Taylor Swift,"nice to meet you, where you been? i could show you incredible things magic, madness, heaven, sin saw you there and i thought ""oh, my god, look at that face you look like my next mistake love's a game, wanna play?"" ayy new money, suit and tie i can read you like a magazine ain't it funny? rumors fly and i know you heard about me so, hey, let's be friends i'm dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over, mm if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young and we're reckless we'll take this way too far it'll leave you breathless, mm or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space, baby and i'll write your name cherry lips, crystal skies i could show you incredible things stolen kisses, pretty lies you're the king, baby, i'm your queen find out what you want be that girl for a month wait, the worst is yet to come, oh, no screaming, crying, perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessing, like ""oh, my god, who is she?"" i get drunk on jealousy but you'll come back each time you leave 'cause, darling, i'm a nightmare dressed like a daydream so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over, mm if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young and we're reckless (oh) we'll take this way too far it'll leave you breathless (oh-oh), mm or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane (insane) but i've got a blank space, baby and i'll write your name boys only want love if it's torture don't say i didn't, say i didn't warn ya boys only want love if it's torture don't say i didn't, say i didn't warn ya so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over (over), mm if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane (i'm insane) 'cause you know i love the players and you love the game (and you love the game) 'cause we're young and we're reckless (yeah) we'll take this way too far (ooh) it'll leave you breathless, mm or with a nasty scar (with a nasty scar) got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space, baby and i'll write your name"
3,03_style,1989,Taylor Swift,"midnight you come and pick me up, no headlights long drive could end in burning flames or paradise fade into view, oh it's been a while since i have even heard from you (heard from you) and i should just tell you to leave, 'cause i know exactly where it leads, but i watch us go 'round and 'round each time you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style you got that long hair, slicked back, white t-shirt and i got that good-girl faith and a tight little skirt and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style so it goes he can't keep his wild eyes on the road, mm takes me home the lights are off, he's taking off his coat, mm, yeah i say, ""i heard, oh that you've been out and about with some other girl"" some other girl he says, ""what you heard is true, but i can't stop thinking 'bout you and i"" i said, ""i've been there too, a few times"" you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style, we never go out of style you got that long hair, slicked back, white t-shirt and i got that good-girl faith and a tight little skirt (a tight little skirt) and when we go crashing down, we come back every time 'cause we never go out of style (we never go, we never go), we never go out of style take me home (ah) just take me home (ah) yeah, just take me home (ah) oh-oh, woah-oh, oh (out of style) oh, you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down (and when we go), we come back every time 'cause we never go out of style, we never go out of style"
4,04_out_of_the_woods,1989,Taylor Swift,"looking at it now it all seems so simple we were lying on your couch i remember you took a polaroid of us then discovered (then discovered) the rest of the world was black and white but we were in screaming color and i remember thinking are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good (are we out of the woods?) looking at it now last december (last december) we were built to fall apart then fall back together (back together) ooh, your necklace hanging from my neck the night we couldn't quite forget when we decided, we decided to move the furniture so we could dance baby, like we stood a chance two paper airplanes flying, flying, flying and i remember thinking are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? (oh) are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good (are we out of the woods?) remember when you hit the brakes too soon? twenty stitches in the hospital room when you started crying, baby, i did too but when the sun came up, i was looking at you remember when we couldn't take the heat? i walked out, i said, ""i'm setting you free"" but the monsters turned out to be just trees when the sun came up, you were looking at me you were looking at me, oh you were looking at me (are we out of the woods yet? are we out of the woods yet?) (are we out of the woods yet? are we out of the woods?) i remember (are we in the clear yet? are we in the clear yet?) (are we in the clear yet, in the clear yet? good) oh, i remember are we out of the woods yet? are we out of the woods yet? (yeah) are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? (say, are we?) are we in the clear yet, in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? (yeah) are we in the clear yet? (yeah) are we in the clear yet, in the clear yet? good (clear yet? good) are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good (do you remember?) are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet, in the clear yet? good"
5,05_all_you_had_to_do_was_stay,1989,Taylor Swift,"(hey, hey, hey) (hey, hey, hey) (hey, hey, hey) (hey, hey, hey) people like you always want back the love they gave away and people like me wanna believe you when you say you've changed the more i think about it now the less i know all i know is that you drove us off the road (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late, well, could've been easy all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was stay here you are now, calling me up but i don't know what to say i've been pickin' up the pieces of the mess you made people like you always want back the love they pushed aside but people like me are gone forever when you say goodbye (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late, well, could've been easy all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was (stay, stay, stay, stay, stay) let me remind you this was what you wanted (oh, oh, oh-oh-oh) you ended it you were all i wanted (oh, oh, oh-oh-oh) but not like this not like this, not like this oh, all you had to do was (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late, well, could've been easy all you had to do was (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late, well, it could've been easy (all you had to do was stay) all you had to do was (stay) all you had to do was (stay, oh) all you had to do was (stay) all you had to do was (stay, ooh) all you had to do was (stay)"
6,06_shake_it_off,1989,Taylor Swift,"i stay out too late got nothin' in my brain that's what people say, mm-mm that's what people say, mm-mm i go on too many dates (haha) but i can't make them stay at least, that's what people say, mm-mm that's what people say, mm-mm but i keep cruisin' can't stop, won't stop movin' it's like i got this music in my mind sayin', ""it's gonna be alright"" 'cause the players gonna play, play, play, play, play and the haters gonna hate, hate, hate, hate, hate baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off heartbreakers gonna break, break, break, break, break and the fakers gonna fake, fake, fake, fake, fake baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off i never miss a beat i'm lightnin' on my feet and that's what they don't see, mm-mm that's what they don't see, mm-mm i'm dancin' on my own (dancin' on my own) i make the moves up as i go (moves up as i go) and that's what they don't know, mm-mm that's what they don't know, mm-mm but i keep cruisin' can't stop, won't stop groovin' it's like i got this music in my mind sayin', ""it's gonna be alright"" 'cause the players gonna play, play, play, play, play and the haters gonna hate, hate, hate, hate, hate baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off heartbreakers gonna break, break, break, break, break and the fakers gonna fake, fake, fake, fake, fake baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off i shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off hey, hey, hey just think, while you've been gettin' down and out about the liars and the dirty, dirty cheats of the world you could've been gettin' down to this sick beat my ex-man brought his new girlfriend she's like, ""oh my god,"" but i'm just gonna shake and to the fella over there with the hella good hair won't you come on over, baby? we can shake, shake, shake yeah, oh-oh, oh 'cause the players gonna play, play, play, play, play and the haters gonna hate, hate, hate, hate, hate (haters gonna hate) baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off (ha) heartbreakers gonna break, break, break, break, break (mmm) and the fakers gonna fake, fake, fake, fake, fake (they fake and fake and fake) baby, i'm just gonna shake, shake, shake, shake, shake i shake it off, i shake it off (i, i) i shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off (yeah), i shake it off i shake it off, i shake it off i, i, i shake it off, i shake it off (you got to) i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off"
7,07_i_wish_you_would,1989,Taylor Swift,"it's 2 a.m. in your car windows down, you pass my street, the memories start you say, ""it's in the past,"" you drive straight ahead you're thinkin' that i hate you now 'cause you still don't know what i never said i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live and i wish you were right here, right now, it's all good i wish you would it's 2 a.m. in my room headlights pass the window pane, i think of you we're a crooked love in a straight line down makes you want to run and hide but it makes you turn right back around i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live and i wish you were right here, right now, it's all good i wish you would i wish we could go back and remember what we were fighting for and i wish you knew that i miss you too much to be mad anymore and i wish you were right here, right now, it's all good i wish you would i, i-i-i, i, i, i wish, i wish, i i, i-i-i, i, i, i wish, i wish, i i, i-i-i, i, i, i wish, i wish, i (hey) you always knew how to push my buttons (i, i-i-i, i, i, i wish, i wish, i) you give me everything and nothin' (i, i-i-i, i, i, i wish, i wish, i) this mad, mad love makes you come runnin' (i, i-i-i, i, i, i wish, i wish, i) to stand back where you stood (i, i-i-i, i, i, i wish, i wish, i) i wish you would, i wish you would (i wish you would, i wish you would) i wish you would, i wish you would (i, i-i-i, i, i, i wish, i wish, i) (i wish you would, i wish you would) (i, i-i-i, i, i, i wish, i wish, i) 2 a.m., here we are see your face, hear my voice in the dark we're a crooked love in a straight line down makes you wanna run and hide but it made us turn right back around i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live and i wish you were right here, right now, it's all good i wish you would i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live and i wish you were right here, right now, it's all good i wish you would i wish we could go back and remember what we were fighting for and i wish you knew that i miss you too much to be mad anymore and i wish you were right here, right now, it's all good i wish you would you always knew how to push my buttons (i, i-i-i, i, i, i wish, i wish, i) you give me everything and nothin' (i, i-i-i, i, i, i wish, i wish, i) this mad, mad love makes you come runnin' (i, i-i-i, i, i, i wish, i wish, i) to stand back where you stood (i, i-i-i, i, i, i wish, i wish, i) i wish you would, i wish you would (i wish you would, i wish you would) (i, i-i-i, i, i, i wish, i wish, i) i wish you would, i wish you would (i wish you would, i wish you would, i wish you would) (i, i-i-i, i, i, i wish, i wish, i) i, i-i-i, i, i, i wish, i wish, i i, i-i-i, i, i, i wish, i wish, i i wish you would"
8,08_bad_blood,1989,Taylor Swift,"'cause, baby, now we got bad blood you know it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey did you have to do this? i was thinking that you could be trusted did you have to ruin what was shiny? now it's all rusted did you have to hit me where i'm weak? baby, i couldn't breathe and rub it in so deep salt in the wound like you're laughin' right at me oh, it's so sad to think about the good times you and i 'cause, baby, now we got bad blood you know it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey did you think we'd be fine? still got scars on my back from your knife so don't think it's in the past these kinda wounds, they last and they last now, did you think it all through? all these things will catch up to you and time can heal, but this won't so if you're comin' my way, just don't oh, it's so sad to think about the good times you and i 'cause, baby, now we got bad blood you know it used to be mad love so take a look what you've done 'cause, baby, now we've got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we've got bad blood, hey band-aids don't fix bullet holes you say sorry just for show if you live like that, you live with ghosts band-aids don't fix bullet holes (hey) you say sorry just for show (hey) if you live like that, you live with ghosts (hey), mmm if you love like that, blood runs cold 'cause, baby, now we got bad blood you know it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey (bad blood) now we got problems and i don't think we can solve 'em (don't think we can solve 'em) you made a really deep cut and, baby, now we got bad blood, hey ('cause now we got bad blood) 'cause, baby, now we got bad blood you know it used to be mad love so take a look what you've done (look what you've done) 'cause, baby, now we got bad blood, hey (ooh, woah) now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey"
9,09_wildest_dreams,1989,Taylor Swift,"he said, ""let's get out of this town drive out of the city, away from the crowds"" i thought, ""heaven can't help me now"" nothing lasts forever but this is gonna take me down he's so tall and handsome as hell he's so bad, but he does it so well i can see the end as it begins my one condition is say you'll remember me standin' in a nice dress starin' at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your wildest dreams, ah, ha wildest dreams, ah, ha i said, ""no one has to know what we do"" his hands are in my hair, his clothes are in my room and his voice is a familiar sound nothin' lasts forever but this is gettin' good now he's so tall and handsome as hell he's so bad, but he does it so well and when we've had our very last kiss my last request is say you'll remember me standin' in a nice dress starin' at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your wildest dreams, ah, ha wildest dreams, ah, ha you'll see me in hindsight tangled up with you all night burnin' it down someday, when you leave me i bet these memories follow you around you'll see me in hindsight tangled up with you all night burnin' (burnin') it (it) down (down) someday, when you leave me i bet these memories follow (follow) you (you) around (follow you around) say you'll remember me standing in a nice dress starin' at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just pretend say you'll remember me standin' in a nice dress starin' at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your (just pretend, just pretend) wildest dreams, ah, ha (ah) in your wildest dreams, ah, ha even if it's just in your in your wildest dreams, ah, ha in your wildest dreams, ah, ha"
10,10_how_you_get_the_girl,1989,Taylor Swift,"oh, oh, oh oh, oh, oh oh-oh, oh-oh stand there like a ghost shaking from the rain, rain she'll open up the door and say, ""are you insane?"" say it's been a long six months and you were too afraid to tell her what you want, want and that's how it works that's how you get the girl and then, you say i want you for worse or for better i would wait forever and ever broke your heart, i'll put it back together i would wait forever and ever and that's how it works that's how you get the girl, girl (oh-oh, oh) and that's how it works that's how you get the girl, girl remind her how it used to be, be, yeah-yeah with pictures in frames of kisses on cheeks, cheeks tell her how you must have lost your mind, ooh-ooh when you left her all alone and never told her why, why and that's how it works that's how you lost the girl and now, you say i want you for worse or for better i would wait forever and ever (ever and ever) broke your heart, i'll put it back together i would wait forever and ever and that's how it works that's how you get the girl, girl (oh-oh, oh-oh) and that's how it works that's how you get the girl, girl yeah, yeah and you know oh, oh, oh, oh, oh, oh, oh, oh, oh, oh that i don't want you to go, oh, oh remind me how it used to be pictures in frames of kisses on cheeks and say you want me, yeah-yeah and then you say i want you for worse or for better (worse or for better) i would wait forever and ever (ever and ever) broke your heart, i'll put it back together i want you forever and ever (i would wait forever and ever) and that's how it works that's how you get the girl, girl (this is how it works) and that's how it works that's how you get the girl, girl (get the girl) (that's how it works) and that's how it works that's how you get the girl, girl (oh, oh, oh, oh, oh, oh, oh, oh, oh, oh) and that's how it works that's how you get the girl, girl (oh, oh, oh, oh, oh, oh, oh, oh, oh, oh) and that's how it works that's how you got the girl"
